feedback_id	feedback_text	category	source_context	actionability_hint
0	Need more mentorship opportunities to improve project management skills	skill	peer_review	actionable
1	The team's collaborative approach could be more structured for larger projects	team	manager_feedback	partially_actionable
2	I'm struggling to keep up with the pace of technical training modules	skill	self_reflection	descriptive_only
3	Frequent interruptions during focused work time reduce output quality	team	course_feedback	partially_actionable
4	Could benefit from clearer guidelines on documentation standards	skill	peer_review	actionable
5	Group brainstorming sessions often lack clear direction	productivity	manager_feedback	partially_actionable
6	Peer feedback is occasionally too vague to be useful	communication	self_reflection	descriptive_only
7	Ideas are often dismissed without proper consideration	team	course_feedback	actionable
8	Timely feedback on assignments would improve learning outcomes	skill	manager_feedback	actionable
9	Need better tools for tracking individual progress	growth	course_feedback	partially_actionable
10	Confidence in public speaking is lacking	skill	self_reflection	actionable
11	Workload distribution feels uneven among team members	productivity	peer_review	partially_actionable
12	Mentoring programs should include more hands-on practice	skill	manager_feedback	actionable
13	Feedback is rarely given in a timely manner	productivity	course_feedback	partially_actionable
14	Need clearer expectations for cross-functional collaboration	team	self_reflection	descriptive_only
15	Take more time to document solutions for future reference	skill	peer_review	actionable
16	Team meetings often lack clear agendas or time limits	productivity	manager_feedback	partially_actionable
17	I need to improve my ability to ask for help when stuck	skill	self_reflection	actionable
18	Communication between departments is often delayed	communication	course_feedback	partially_actionable
19	Could use more practice in time management techniques	growth	peer_review	actionable
20	Frequent changes to project scope create confusion	productivity	manager_feedback	partially_actionable
21	Must work on delivering constructive feedback to peers	communication	self_reflection	actionable
22	Few opportunities exist for skill development outside core responsibilities	growth	course_feedback	descriptive_only
23	Need better tools for tracking team performance metrics	productivity	peer_review	actionable
24	Rarely receive specific feedback on my contributions	team	manager_feedback	partially_actionable
25	Need more guidance on balancing workload with personal projects	growth	self_reflection	actionable
26	Meetings often start late and end without clear next steps	productivity	course_feedback	partially_actionable
27	Could improve my ability to explain technical concepts clearly	skill	peer_review	actionable
28	Ideas from junior members are often overlooked	team	manager_feedback	actionable
29	Frequent last-minute changes disrupt workflow	productivity	course_feedback	partially_actionable
30	Need to develop better listening skills during feedback sessions	communication	self_reflection	actionable
31	Mentorship programs should include more one-on-one time	skill	manager_feedback	partially_actionable
32	Struggling to keep up with rapidly changing project requirements	growth	course_feedback	descriptive_only
33	Could benefit from more structured onboarding for new members	team	peer_review	actionable
34	Frequent multitasking reduces overall efficiency	productivity	manager_feedback	partially_actionable
35	Must work on accepting feedback without defensiveness	communication	self_reflection	actionable
36	Limited access to industry-specific training resources	skill	course_feedback	descriptive_only
37	Need clearer guidelines for handling conflicts in team settings	team	manager_feedback	actionable
