feedback_id	feedback_text	category	source_context	actionability_hint
748	I should practice empathy in feedback to foster a more supportive environment.	communication	self_reflection	actionable
463	The course syllabus doesn't provide enough flexibility for personal learning goals.	subject	course_feedback	partially_actionable
796	Workshops on effective time management could boost individual productivity.	productivity	course_feedback	actionable
407	I should set weekly goals to track my progress in learning new software tools.	growth	self_reflection	actionable
904	Workshops on negotiation skills could improve conflict resolution and agreement outcomes.	team	course_feedback	actionable
526	The team's feedback process lacks follow-up actions, making it less effective.	team	manager_feedback	partially_actionable
951	Frequent changes in project direction due to poor planning cause wasted effort.	team	manager_feedback	actionable
51	Must work on managing time between competing priorities	growth	peer_review	actionable
968	I must work on my ability to collaborate with cross-functional teams effectively.	growth	self_reflection	actionable
85	Rarely get opportunities to practice public speaking	team	course_feedback	descriptive_only
284	The team's use of feedback is inconsistent; providing training on its implementation could help.	team	manager_feedback	actionable
775	I should take more time to reflect on what I'm learning and how it applies.	growth	self_reflection	actionable
389	The course's content assumes prior knowledge not covered; suggesting prerequisite modules would help.	subject	course_feedback	partially_actionable
540	Frequent multitasking reduces the quality of my work.	productivity	peer_review	actionable
9	Need better tools for tracking individual progress	growth	course_feedback	partially_actionable
69	Rarely get feedback on my ability to collaborate with others	communication	course_feedback	partially_actionable
96	Must work on managing time between competing priorities	skill	manager_feedback	partially_actionable
137	Rarely get feedback on my ability to collaborate with others	growth	peer_review	descriptive_only
279	The project's timeline did not allow for adequate testing phases.	productivity	peer_review	actionable
939	Frequent meetings with unclear agendas waste time that could be spent on tasks.	productivity	peer_review	actionable
628	I should refine my time management techniques to avoid working late hours consistently.	growth	self_reflection	actionable
217	My delegation habits need work; practicing clear task assignment would improve team performance.	team	self_reflection	partially_actionable
428	Frequent last-minute changes disrupt workflow and deadlines.	productivity	peer_review	partially_actionable
797	I should make more time for continuous learning outside of work responsibilities.	growth	self_reflection	actionable
269	The course's assignments don't align with learning objectives; revising them for relevance would improve outcomes.	subject	course_feedback	partially_actionable
135	Could improve my ability to listen actively during discussions	team	course_feedback	actionable
644	I should schedule regular check-ins to ensure my team understands evolving project requirements.	team	self_reflection	actionable
963	Frequent misunderstandings between team members indicate a need for better communication protocols.	team	manager_feedback	actionable
