index	feedback_id	text	cluster_label	is_labeled	label	labeled
0	576	the course isn't accessible for students with varying learning styles.	13	False	medium	True
1	335	the project's resource allocation was unbalanced; using workload balancing tools could improve efficiency.	11	False	medium	True
2	213	i tend to avoid difficult feedback; learning active listening techniques could improve my coaching.	4	False	medium	True
3	962	i need to develop better time management strategies to handle my workload more efficiently.	0	False	medium	True
4	614	i need to document my workflow steps more systematically to improve knowledge sharing.	7	False	medium	True
5	584	frequent disagreements over work methods are slowing down progress.	2	False	medium	True
6	779	i should improve my ability to summarize key points in meetings effectively.	4	False	medium	True
7	449	frequent changes in requirements make it hard to stay focused.	9	False	medium	True
8	41	frequent meetings reduce time available for focused work	0	False	medium	True
9	283	the project's risk assessment was incomplete, leading to unexpected challenges.	14	False	medium	True
10	850	course modules should be more interactive to increase student engagement.	10	False	medium	True
11	634	i should implement a daily reflection routine to identify productivity trends.	0	False	medium	True
12	863	i need to be more efficient in my workflow by avoiding multitasking.	7	False	medium	True
13	6	peer feedback is occasionally too vague to be useful	6	False	medium	True
14	902	creating a structured feedback framework would increase actionability.	6	False		False
15	468	i need to improve my ability to adapt to changing project requirements.	9	False	medium	True
16	574	frequent interruptions during focused work reduce overall output quality.	0	False		False
17	246	the lab's grading system lacks differentiation between skill levels; introducing tiered evaluations could help.	13	False	medium	True
18	680	i should develop a system to track my progress toward personal development goals.	8	False	medium	True
19	432	the course lacks up-to-date materials that reflect industry standards.	13	False	medium	True
20	417	the assignments are too vague; clearer instructions would improve quality.	1	False		False
21	81	limited access to learning resources outside core responsibilities	5	False	medium	True
22	208	the lecture examples were too theoretical; including more real-world applications would enhance understanding.	10	False		False
23	115	could improve my ability to ask clarifying questions	4	False	medium	True
24	107	could improve my ability to listen actively during discussions	4	False		False
25	120	few opportunities to share knowledge with peers	12	False	medium	True
26	668	i should establish clearer priorities for project tasks to improve overall productivity.	11	False	medium	True
27	684	i'm not leveraging my manager's feedback effectively to shape my career trajectory.	6	False		False
28	391	the project's documentation is inconsistent; implementing standardized templates would improve quality.	2	False	medium	True
29	582	the course content is too theoretical and lacks practical application examples.	13	False		False
30	895	i need to be more open to receiving constructive criticism without defensiveness.	4	False		False
31	735	i should practice summarizing meeting points to ensure clarity and follow-up.	4	False		False
32	131	could benefit from more training on using collaboration tools	12	False	medium	True
33	978	i should focus on improving my ability to manage time effectively during long projects.	0	False		False
34	149	must work on asking for feedback more proactively	6	False		False
35	190	must work on accepting feedback without defensiveness	6	False		False
36	147	could benefit from more practice in leading discussions	12	False	medium	True
37	669	the team needs better protocols for handling disagreements in a constructive way.	2	False	medium	True
38	724	establishing clear documentation practices would reduce onboarding time.	2	False	medium	True
39	995	there's a lack of recognition for team members' hard work, which demotivates the group.	2	False	medium	True
40	590	frequent interruptions during meetings reduce focus and efficiency.	0	False		False
41	559	i should explore new learning platforms to expand my knowledge.	8	False	medium	True
42	827	i must be more proactive in identifying and addressing bottlenecks.	11	False		False
43	362	my reluctance to ask for help leads to inefficiencies; fostering a culture of inquiry would improve teamwork.	12	False	medium	True
44	225	the team's use of jargon hinders clarity; encouraging plain language in meetings would improve transparency.	2	False		False
45	281	the course's feedback mechanisms are delayed; real-time evaluation tools could improve learning outcomes.	10	False		False
46	616	i'm not effectively using feedback from peers to identify areas for personal growth.	6	False		False
47	187	could benefit from more training on using collaboration tools	12	False		False
48	480	i should explore networking opportunities to expand my professional knowledge.	8	False	medium	True
49	247	i often delay feedback; committing to immediate post-task reviews would enhance learning.	6	False		False
50	773	i need to refine my ability to receive feedback without defensiveness.	4	False		False
51	756	i need to be more concise in written communication to avoid delays.	4	False		False
52	467	the course materials are outdated and don't reflect current industry practices.	13	False		False
53	294	i avoid difficult feedback; learning structured dialogue techniques would improve resolution.	4	False		False
54	746	i need to strengthen my presentation skills for better client and team communication.	4	False		False
55	397	the course's content delivery is passive; incorporating real-world case studies would improve relevance.	10	False		False
56	401	the team often misses deadlines because of unclear task ownership.	2	False		False
57	782	creating a centralized knowledge repository would improve access to important information.	12	False		False
58	450	i should use project management tools to organize my tasks more effectively.	7	False	medium	True
